"displacement:0","displacement:1","displacement:2","nodal_GL_strains_xyz:0","nodal_GL_strains_xyz:1","nodal_GL_strains_xyz:2","nodal_GL_strains_xyz:3","nodal_GL_strains_xyz:4","nodal_GL_strains_xyz:5","nodal_cauchy_stresses_xyz:0","nodal_cauchy_stresses_xyz:1","nodal_cauchy_stresses_xyz:2","nodal_cauchy_stresses_xyz:3","nodal_cauchy_stresses_xyz:4","nodal_cauchy_stresses_xyz:5","Points:0","Points:1","Points:2"
-0.5,0.8,0,1.5,-4.2831e-15,-0.375,6.8223e-15,0,0,375,75,0,1.5501e-12,0,0,-0.5,0.3,0,1.0e-9
0.45,0.8,0,1.5,1.623e-15,-0.375,1.6554e-16,0,0,375,75,0,2.6813e-14,0,0,0.45,0.25,0,1.0e-9
0.5,0.8,0,1.5,-1.9835e-15,-0.375,-1.8794e-15,0,0,375,75,0,-3.0332e-13,0,0,0.5,0.25,0,1.0e-9
0.4,0.8,0,1.5,-1.5856e-15,-0.375,7.9648e-16,0,0,375,75,0,-6.9336e-14,0,0,0.4,0.25,0,1.0e-9
0.35,0.8,0,1.5,1.9463e-15,-0.375,-2.2957e-15,0,0,375,75,0,-5.2754e-13,0,0,0.35,0.25,0,1.0e-9
0.3,0.8,0,1.5,-1.213e-15,-0.375,2.8758e-15,0,0,375,75,0,6.8599e-13,0,0,0.3,0.25,0,1.0e-9
0.25,0.8,0,1.5,4.189e-15,-0.375,-2.7524e-15,0,0,375,75,0,-5.0131e-13,0,0,0.25,0.25,0,1.0e-9
0.2,0.8,0,1.5,2.5384e-15,-0.375,1.7968e-16,0,0,375,75,0,1.2988e-14,0,0,0.2,0.25,0,1.0e-9
0.15,0.8,0,1.5,-6.1381e-16,-0.375,1.1484e-15,0,0,375,75,0,3.9515e-13,0,0,0.15,0.25,0,1.0e-9
0.1,0.8,0,1.5,1.9448e-15,-0.375,-7.6406e-16,0,0,375,75,0,-2.4265e-13,0,0,0.1,0.25,0,1.0e-9
0.05,0.8,0,1.5,-4.5453e-15,-0.375,3.1591e-16,0,0,375,75,0,3.1574e-14,0,0,0.05,0.25,0,1.0e-9
1.3878e-17,0.8,0,1.5,1.0801e-15,-0.375,-4.502e-16,0,0,375,75,0,-1.702e-13,0,0,1.3878e-17,0.25,0,1.0e-9
